time,prey,predator
19.900,16.540067,3.757714
20.000,17.828944,3.726016
20.100,19.220116,3.709462
20.200,20.720550,3.709027
20.300,22.337391,3.725968
20.400,24.077865,3.761876
20.500,25.949155,3.818756
20.600,27.958229,3.899119
20.700,30.111604,4.006101
20.800,32.415026,4.143622
20.900,34.873054,4.316580
21.000,37.488496,4.531107
21.100,40.261674,4.794898
21.200,43.189459,5.117629
21.300,46.264008,5.511497
21.400,49.471134,5.991899
21.500,52.788223,6.578282
21.600,56.181610,7.295186
21.700,59.603362,8.173460
21.800,62.987477,9.251613
21.900,66.245666,10.577107
22.000,69.263196,12.207271
22.100,71.895745,14.209154
22.200,73.969004,16.657269
22.300,75.283635,19.627679
22.400,75.628967,23.186658
22.500,74.808514,27.372670
22.600,72.677833,32.172517
22.700,69.189454,37.496513
22.800,64.431574,43.162555
22.900,58.641814,48.901138
23.000,52.181544,54.388452
23.100,45.472489,59.301974
23.200,38.917028,63.379740
23.300,32.832001,66.461304
23.400,27.416368,68.498351
23.500,22.754256,69.538058
23.600,18.840740,69.691957
23.700,15.614659,69.103547
23.800,12.987484,67.922754
23.900,10.863772,66.289628
24.000,9.153271,64.326129
24.100,7.776693,62.133547
24.200,6.667471,59.793240
24.300,5.771302,57.368954
24.400,5.044688,54.909670
24.500,4.453176,52.452402
24.600,3.969647,50.024666
24.700,3.572815,47.646562
24.800,3.245986,45.332442
24.900,2.976046,43.092249
25.000,2.752676,40.932554
25.100,2.567730,38.857362
25.200,2.414758,36.868738
25.300,2.288636,34.967285
25.400,2.185282,33.152513
25.500,2.101438,31.423125
25.600,2.034497,29.777231
25.700,1.982375,28.212520
25.800,1.943409,26.726389
25.900,1.916275,25.316039
26.000,1.899932,23.978555
26.100,1.893566,22.710962
26.200,1.896559,21.510273
26.300,1.908455,20.373519
26.400,1.928942,19.297778
26.500,1.957826,18.280191
26.600,1.995024,17.317979
26.700,2.040552,16.408451
26.800,2.094514,15.549010
26.900,2.157100,14.737160
27.000,2.228579,13.970507
27.100,2.309298,13.246759
27.200,2.399681,12.563728
27.300,2.500229,11.919327
27.400,2.611520,11.311569
27.500,2.734212,10.738568
27.600,2.869047,10.198529
27.700,3.016850,9.689753
27.800,3.178541,9.210632
27.900,3.355131,8.759643
28.000,3.547735,8.335348
28.100,3.757576,7.936392
28.200,3.985992,7.561498
28.300,4.234443,7.209465
28.400,4.504521,6.879167
28.500,4.797960,6.569549
28.600,5.116644,6.279627
28.700,5.462621,6.008483
28.800,5.838110,5.755269
28.900,6.245516,5.519200
29.000,6.687443,5.299558
29.100,7.166706,5.095689
29.200,7.686348,4.907006
29.300,8.249648,4.732988
29.400,8.860143,4.573181
29.500,9.521635,4.427205
29.600,10.238214,4.294753
29.700,11.014261,4.175597
29.800,11.854468,4.069596
29.900,12.763845,3.976704
30.000,13.747728,3.896978
30.100,14.811782,3.830594
30.200,15.961996,3.777862
30.300,17.204676,3.739247
30.400,18.546423,3.715396
30.500,19.994099,3.707170
30.600,21.554772,3.715685
30.700,23.235644,3.742364
30.800,25.043936,3.789008
30.900,26.986744,3.857872
31.000,29.070833,3.951780
31.100,31.302359,4.074257
31.200,33.686507,4.229708
31.300,36.226995,4.423645
31.400,38.925430,4.662973
31.500,41.780461,4.956369
31.600,44.786660,5.314758
31.700,47.933081,5.751922
31.800,51.201405,6.285268
31.900,54.563577,6.936775
32.000,57.978878,7.734135
32.100,61.390391,8.712050
32.200,64.720947,9.913582
32.300,67.868853,11.391310
32.400,70.704104,13.207788
32.500,73.066411,15.434458
32.600,74.767231,18.147686
32.700,75.598875,21.420215
32.800,75.354122,25.306390
32.900,73.858435,29.820747
33.000,71.012696,34.912728
33.100,66.836997,40.445037
33.200,61.498600,46.187304
33.300,55.306003,51.835640
33.400,48.661898,57.059203
33.500,41.987593,61.560599
33.600,35.646906,65.127902
33.700,29.896368,67.660199
33.800,24.872424,69.162665
33.900,20.608433,69.720500
34.000,17.065920,69.465743
34.100,14.166245,68.547869
34.200,11.815266,67.113083
34.300,9.919214,65.292541
34.400,8.393181,63.197410
34.500,7.164517,60.918286
34.600,6.173238,58.526936
34.700,5.370929,56.078989
34.800,4.719065,53.616811
