strategy,step,waiting,eating
asymmetric,113,0,1
asymmetric,114,1,1
asymmetric,115,1,2
asymmetric,116,1,2
asymmetric,117,0,2
asymmetric,118,0,0
asymmetric,119,0,2
asymmetric,120,0,0
asymmetric,121,1,1
asymmetric,122,0,1
asymmetric,123,0,2
asymmetric,124,0,0
asymmetric,125,1,1
asymmetric,126,0,2
asymmetric,127,0,1
asymmetric,128,1,1
asymmetric,129,0,1
asymmetric,130,2,1
asymmetric,131,1,2
asymmetric,132,0,1
asymmetric,133,0,2
asymmetric,134,0,1
asymmetric,135,0,2
asymmetric,136,1,2
asymmetric,137,1,2
asymmetric,138,0,2
asymmetric,139,1,2
asymmetric,140,0,2
asymmetric,141,0,1
asymmetric,142,0,1
asymmetric,143,2,1
asymmetric,144,1,2
asymmetric,145,0,2
asymmetric,146,0,1
asymmetric,147,0,0
asymmetric,148,1,1
asymmetric,149,2,1
asymmetric,150,1,2
asymmetric,151,1,1
asymmetric,152,1,2
asymmetric,153,0,2
asymmetric,154,0,2
asymmetric,155,0,1
asymmetric,156,0,1
asymmetric,157,1,2
asymmetric,158,0,1
asymmetric,159,0,0
asymmetric,160,0,1
